STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isced11,International Standard Classification of Education (ISCED 2011),wstatus,Labour force and employment status,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2011,,17.7,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2012,,19.4,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2013,,19.8,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2014,,18.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2015,,19.8,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2016,,18.6,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2017,,15.3,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2018,,12.7,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2019,,15.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,BE,Belgium,2020,,12.6,,,,,
